obs_wl_vac(A),unc_obs_wl,ritz_wl_vac(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
,,912.323660,0.000008,,1.2258e+02,AAA,0.0000000000,[109610.2232],1s,2S,1/2,40,,,,T8637,,
,,912.353295,0.000008,,1.3913e+02,AAA,0.0000000000,[109606.6628],1s,2S,1/2,39,,,,T8637,,
,,912.385303,0.000008,,1.5843e+02,AAA,0.0000000000,[109602.8177],1s,2S,1/2,38,,,,T8637,,
,,912.419943,0.000008,,1.8103e+02,AAA,0.0000000000,[109598.6566],1s,2S,1/2,37,,,,T8637,,
,,912.457513,0.000008,,2.0762e+02,AAA,0.0000000000,[109594.1439],1s,2S,1/2,36,,,,T8637,,
,,912.498352,0.000008,,2.3903e+02,AAA,0.0000000000,[109589.2390],1s,2S,1/2,35,,,,T8637,,
,,912.542852,0.000008,,2.7631e+02,AAA,0.0000000000,[109583.8949],1s,2S,1/2,34,,,,T8637,,
,,912.591463,0.000008,,3.2081e+02,AAA,0.0000000000,[109578.0577],1s,2S,1/2,33,,,,T8637,,
,,912.644709,0.000008,,3.7418e+02,AAA,0.0000000000,[109571.6647],1s,2S,1/2,32,,,,T8637,,
,,912.703197,0.000008,,4.3857e+02,AAA,0.0000000000,[109564.6431],1s,2S,1/2,31,,,,T8637,,
,,912.767639,0.000008,,5.1673e+02,AAA,0.0000000000,[109556.9077],1s,2S,1/2,30,,,,T8637,,
,,912.838873,0.000008,,6.1221e+02,AAA,0.0000000000,[109548.3584],1s,2S,1/2,29,,,,T8637,,
,,912.917887,0.000008,,7.2967e+02,AAA,0.0000000000,[109538.8768],1s,2S,1/2,28,,,,T8637,,
,,913.005859,0.000008,,8.7524e+02,AAA,0.0000000000,[109528.3223],1s,2S,1/2,27,,,,T8637,,
,,913.104195,0.000008,,1.0571e+03,AAA,0.0000000000,[109516.5267],1s,2S,1/2,26,,,,T8637,,
,,913.214592,0.000008,,1.2862e+03,AAA,0.0000000000,[109503.2875],1s,2S,1/2,25,,,,T8637,,
,,913.339105,0.000008,,1.5776e+03,AAA,0.0000000000,[109488.3592],1s,2S,1/2,24,,,,T8637,,
,,913.480251,0.000008,,1.9519e+03,AAA,0.0000000000,[109471.4416],1s,2S,1/2,23,,,,T8637,,
,,913.641133,0.000008,,2.4380e+03,AAA,0.0000000000,[109452.1650],1s,2S,1/2,22,,,,T8637,,
,,913.825609,0.000008,,3.0769e+03,AAA,0.0000000000,[109430.0696],1s,2S,1/2,21,,,,T8637,,
,,914.038537,0.000008,,3.9276e+03,AAA,0.0000000000,[109404.5776],1s,2S,1/2,20,,,,T8637,,
,,914.286086,0.000008,,5.0767e+03,AAA,0.0000000000,[109374.9555],1s,2S,1/2,19,,,,T8637,,
,,914.576201,0.000008,,6.6540e+03,AAA,0.0000000000,[109340.2604],1s,2S,1/2,18,,,,T8637,,
,,914.919242,0.000008,,8.8574e+03,AAA,0.0000000000,[109299.2642],1s,2S,1/2,17,,,,T8637,,
,,915.328932,0.000008,,1.1997e+04,AAA,0.0000000000,[109250.3433],1s,2S,1/2,16,,,,T8637,,
,,915.823751,0.000008,,1.6572e+04,AAA,0.0000000000,[109191.3154],1s,2S,1/2,15,,,,T8637,,
,,916.429076,0.000008,,2.3409e+04,AAA,0.0000000000,[109119.1917],1s,2S,1/2,14,,,,T8637,,
,,917.180514,0.000008,,3.3927e+04,AAA,0.0000000000,[109029.7913],1s,2S,1/2,13,,,,T8637,,
918.125,0.013,918.129300,0.000004,5600,5.0659e+04,AAA,0.0000000000,108917.1209,1s,2S,1/2,12,,,,T8637,L8834,
918.1293175,0.0000003,918.1293175,0.0000003,,,,0.0000000000,[108917.11886],1s,2S,1/2,12s,2S,1/2,M1,,L15291c36,
918.130,0.020,918.1293046,0.0000003,,,,0.0000000000,[108917.12039],1s,2S,1/2,12p,2P*,3/2,,,L8445,
918.130,0.020,918.1293188,0.0000003,,,,0.0000000000,[108917.11870],1s,2S,1/2,12p,2P*,1/2,,,L8445,
919.342,0.014,919.351334,0.000005,6100,7.8340e+04,AAA,0.0000000000,108772.3445,1s,2S,1/2,11,,,,T8637,L8834,
919.349,0.020,919.3513419,0.0000003,,,,0.0000000000,[108772.34355],1s,2S,1/2,11p,2P*,3/2,,,L8445,
919.349,0.020,919.3513605,0.0000003,,,,0.0000000000,[108772.34135],1s,2S,1/2,11p,2P*,1/2,,,L8445,
919.35133578,0.00000020,919.35133577,0.00000019,,,,0.0000000000,[108772.344270],1s,2S,1/2,11d,2D,5/2,E2,,L15291c37,
919.3513586,0.0000003,919.3513586,0.0000003,,,,0.0000000000,[108772.34157],1s,2S,1/2,11s,2S,1/2,M1,,L15291c36,
920.947,0.014,920.963006,0.000007,7400,1.2631e+05,AAA,0.0000000000,108581.9945,1s,2S,1/2,10,,,,T8637,L8834,
920.9630369,0.0000003,920.9630369,0.0000003,,,,0.0000000000,[108581.99080],1s,2S,1/2,10s,2S,1/2,M1,,L15291c36,
920.970,0.020,920.9630145,0.0000003,,,,0.0000000000,[108581.99344],1s,2S,1/2,10p,2P*,3/2,,,L8445,
920.970,0.020,920.9630394,0.0000003,,,,0.0000000000,[108581.99051],1s,2S,1/2,10p,2P*,1/2,,,L8445,
923.148,0.014,923.150275,0.000009,12000,2.1425e+05,AAA,0.0000000000,108324.7253,1s,2S,1/2,9,,,,T8637,L8834,
923.15027375,0.00000020,923.15027375,0.00000017,,,,0.0000000000,[108324.725501],1s,2S,1/2,9d,2D,5/2,E2,,L15291c37,
923.1503159,0.0000003,923.1503159,0.0000003,,,,0.0000000000,[108324.72055],1s,2S,1/2,9s,2S,1/2,M1,,L15291c36,
923.151,0.020,923.1502850,0.0000003,,,,0.0000000000,[108324.72418],1s,2S,1/2,9p,2P*,3/2,,,L8445,
923.151,0.020,923.1503193,0.0000003,,,,0.0000000000,[108324.72016],1s,2S,1/2,9p,2P*,1/2,,,L8445,
,,926.225665291,0.000000003,,,,0.0000000000,107965.0497145,1s,2S,1/2,8s,2S,1/2,M1,,,
926.229,0.020,926.225621017,0.000000005,,,,0.0000000000,[107965.0548753],1s,2S,1/2,8p,2P*,3/2,,,L8445,
926.229,0.020,926.225670063,0.000000005,,,,0.0000000000,[107965.0491583],1s,2S,1/2,8p,2P*,1/2,,,L8445,
926.249,0.014,926.225605,0.000013,11000,3.8694e+05,AAA,0.0000000000,107965.0568,1s,2S,1/2,8,,,,T8637,L8834,
930.74815048,0.00000020,930.74815048,0.00000020,,,,0.0000000000,[107440.449866],1s,2S,1/2,7d,2D,5/2,E2,,L15291c37,
930.7482418,0.0000003,930.7482418,0.0000003,,,,0.0000000000,[107440.43933],1s,2S,1/2,7s,2S,1/2,M1,,L15291c36,
930.749,0.020,930.7481751,0.0000003,,,,0.0000000000,[107440.44703],1s,2S,1/2,7p,2P*,3/2,,,L8445,
930.749,0.020,930.7482489,0.0000003,,,,0.0000000000,[107440.43850],1s,2S,1/2,7p,2P*,1/2,,,L8445,
930.751,0.014,930.748142,0.000020,5600,7.5684e+05,AAA,0.0000000000,107440.4508,1s,2S,1/2,7,,,,T8637,L8834,
937.801,0.021,937.803361139,0.000000009,,1.9728e+07,AAA,0.0000000000,[106632.1620756],1s,2S,1/2,6p,2P*,3/2,,T8637,L8445,
937.801,0.021,937.803480320,0.000000009,,1.9728e+07,AAA,0.0000000000,[106632.1485242],1s,2S,1/2,6p,2P*,1/2,,T8637,L8445,
,,937.803468734,0.000000006,,,,0.0000000000,106632.1498416,1s,2S,1/2,6s,2S,1/2,M1,,,
937.814,0.014,937.80331,0.00004,19000,1.6440e+06,AAA,0.0000000000,106632.1681,1s,2S,1/2,6,,,,T8637,L8834,
949.742,0.004,949.7429095,0.0000004,,3.4375e+07,AAA,0.0000000000,105291.65209,1s,2S,1/2,5p,2P*,3/2,,T8637,L3545,
949.742,0.004,949.74287,0.00005,33000,4.1250e+06,AAA,0.0000000000,105291.657,1s,2S,1/2,5,,,,T8637,L3545,
949.742,0.004,949.7431207,0.0000004,,3.4375e+07,AAA,0.0000000000,105291.62867,1s,2S,1/2,5p,2P*,1/2,,T8637,L3545,
949.74284001,0.00000021,949.74283997,0.00000021,,,,0.0000000000,[105291.659796],1s,2S,1/2,5d,2D,5/2,E2,,L15291c37,
949.7431001,0.0000004,949.7431003,0.0000004,,,,0.0000000000,[105291.63094],1s,2S,1/2,5s,2S,1/2,M1,,L15291c36,
972.517,0.014,972.53650,0.00011,83000,1.2785e+07,AAA,0.0000000000,102823.904,1s,2S,1/2,4,,,,T8637,L8834,
,,972.536984969,0.000000003,,,,0.0000000000,102823.8530211,1s,2S,1/2,4s,2S,1/2,M1,,,
972.541,0.019,972.536594376,0.000000003,,6.8186e+07,AAA,0.0000000000,102823.8943175,1s,2S,1/2,4p,2P*,3/2,,T8637,L8445,
972.541,0.019,972.537026950,0.000000005,,6.8186e+07,AAA,0.0000000000,102823.8485825,1s,2S,1/2,4p,2P*,1/2,,T8637,L8445,
,,1025.72144677,0.00000007,,5.937e+02,AAA,0.0000000000,97492.355566,1s,2S,1/2,3d,2D,5/2,E2,T7651,,
,,1025.72182693,0.00000021,,5.938e+02,AAA,0.0000000000,97492.319433,1s,2S,1/2,3d,2D,3/2,E2,T7651,,
,,1025.72285517,0.00000007,,1.109e-06,AAA,0.0000000000,97492.221701,1s,2S,1/2,3s,2S,1/2,M1,T7651,,
1025.728,0.003,1025.72182505,0.00000007,,1.6725e+08,AAA,0.0000000000,97492.319611,1s,2S,1/2,3p,2P*,3/2,,T8637,L3545,
1025.728,0.003,1025.7220,0.0003,250000,5.5751e+07,AAA,0.0000000000,97492.304,1s,2S,1/2,3,,,,T8637,L3545,
1025.728,0.003,1025.72296565,0.00000007,,1.6725e+08,AAA,0.0000000000,97492.211200,1s,2S,1/2,3p,2P*,1/2,,T8637,L3545,
1215.6699,0.0020,1215.668237310,0.000000006,,6.2648e+08,AAA,0.0000000000,82259.2850014,1s,2S,1/2,2p,2P*,3/2,,T8637,L12020,
1215.6699,0.0020,1215.673644608,0.000000004,,6.2649e+08,AAA,0.0000000000,82258.9191133,1s,2S,1/2,2p,2P*,1/2,,T8637,L12020,
1215.6701,0.0021,1215.6701,0.0015,840000,4.6986e+08,AAA,0.0000000000,82259.158,1s,2S,1/2,2,,,,T8637,L12020,
1215.673123130200,0.000000000015,1215.673123130200,0.000000000015,,2.495e-06,AAA,0.0000000000,82258.9543992821,1s,2S,1/2,2s,2S,1/2,M1,T7651,L12363,
,,3656.1647,0.0013,,6.7464e+01,AAA,82259.158,[109610.2232],2,,,40,,,,T8637,,
,,3656.6407,0.0013,,7.6576e+01,AAA,82259.158,[109606.6628],2,,,39,,,,T8637,,
,,3657.1549,0.0013,,8.7206e+01,AAA,82259.158,[109602.8177],2,,,38,,,,T8637,,
3657.69,0.03,3657.7116,0.0019,700,9.9657e+01,AAA,82259.158,[109598.6566],2,,,37,,,,T8637,L7400c29,
3658.29,0.03,3658.3154,0.0019,700,1.1430e+02,AAA,82259.158,[109594.1439],2,,,36,,,,T8637,L7400c29,
3659.08,0.10,3658.9720,0.0019,700bl,1.3161e+02,AAA,82259.158,[109589.2390],2,,,35,,,,T8637,L7400c29,
3659.69,0.03,3659.6876,0.0019,700,1.5216e+02,AAA,82259.158,[109583.8949],2,,,34,,,,T8637,L7400c29,
3660.45,0.03,3660.4695,0.0019,700,1.7669e+02,AAA,82259.158,[109578.0577],2,,,33,,,,T8637,L7400c29,
3661.36,0.10,3661.3263,0.0019,700bl,2.0612e+02,AAA,82259.158,[109571.6647],2,,,32,,,,T8637,L7400c29,
3662.31,0.03,3662.2678,0.0019,800,2.4162e+02,AAA,82259.158,[109564.6431],2,,,31,,,,T8637,L7400c29,
3663.26,0.10,3663.3056,0.0019,1100bl,2.8474e+02,AAA,82259.158,[109556.9077],2,,,30,,,,T8637,L7400c29,
3664.45,0.10,3664.4533,0.0019,900bl,3.3742e+02,AAA,82259.158,[109548.3584],2,,,29,,,,T8637,L7400c29,
3665.69,0.10,3665.7269,0.0019,1000bl,4.0224e+02,AAA,82259.158,[109538.8768],2,,,28,,,,T8637,L7400c29,
3667.12,0.03,3667.1458,0.0019,900,4.8261e+02,AAA,82259.158,[109528.3223],2,,,27,,,,T8637,L7400c29,
3668.77,0.03,3668.7327,0.0019,1000,5.8304e+02,AAA,82259.158,[109516.5267],2,,,26,,,,T8637,L7400c29,
3670.50,0.03,3670.5155,0.0019,1300,7.0963e+02,AAA,82259.158,[109503.2875],2,,,25,,,,T8637,L7400c29,
3672.37,0.10,3672.5279,0.0019,1200bl,8.7069e+02,AAA,82259.158,[109488.3592],2,,,24,,,,T8637,L7400c29,
3674.86,0.03,3674.8110,0.0019,1300,1.0777e+03,AAA,82259.158,[109471.4416],2,,,23,,,,T8637,L7400c29,
3677.423,0.006,3677.4160,0.0019,1400,1.3467e+03,AAA,82259.158,[109452.1650],2,,,22,,,,T8637,L7436c29,
3680.418,0.006,3680.4065,0.0019,1700,1.7005e+03,AAA,82259.158,[109430.0696],2,,,21,,,,T8637,L7436c29,
3683.871,0.006,3683.8627,0.0019,1700,2.1719e+03,AAA,82259.158,[109404.5776],2,,,20,,,,T8637,L7436c29,
3687.881,0.006,3687.8871,0.0019,2000,2.8093e+03,AAA,82259.158,[109374.9555],2,,,19,,,,T8637,L7436c29,
3692.602,0.006,3692.6119,0.0019,2300,3.6851e+03,AAA,82259.158,[109340.2604],2,,,18,,,,T8637,L7436c29,
3698.209,0.006,3698.2103,0.0019,2300,4.9101e+03,AAA,82259.158,[109299.2642],2,,,17,,,,T8637,L7436c29,
3704.913,0.006,3704.9132,0.0019,2800,6.6583e+03,AAA,82259.158,[109250.3433],2,,,16,,,,T8637,L7436c29,
3713.034,0.006,3713.0334,0.0019,3300,9.2102e+03,AAA,82259.158,[109191.3154],2,,,15,,,,T8637,L7436c29,
3723.005,0.006,3723.0035,0.0019,5000,1.3032e+04,AAA,82259.158,[109119.1917],2,,,14,,,,T8637,L7436c29,
3735.431,0.006,3735.4365,0.0020,6000,1.8927e+04,AAA,82259.158,[109029.7913],2,,,13,,,,T8637,L7436c29,
,,3751.19082508,0.00000006,,,,82258.9191133,108917.1203787,2p,2P*,1/2,12d,2D,3/2,,,,
,,3751.191039,0.000006,,,,82258.9191133,[108917.11886],2p,2P*,1/2,12s,2S,1/2,,,,
,,3751.1934,0.0008,,,,,,,,,,,,,,c39,
3751.19571087,0.00000003,3751.19571087,0.00000003,,,,82258.9543992821,108917.12094342,2s,2S,1/2,12d,2D,5/2,E2,,L11759,
,,3751.195789,0.000006,,,,82258.9543992821,[108917.12039],2s,2S,1/2,12p,2P*,3/2,,,,
3751.19579034,0.00000005,3751.19579033,0.00000004,,,,82258.9543992821,108917.1203787,2s,2S,1/2,12d,2D,3/2,E2,,L11759,
,,3751.196004,0.000006,,,,82258.9543992821,[108917.11886],2s,2S,1/2,12s,2S,1/2,M1,,,
,,3751.196027,0.000006,,,,82258.9543992821,[108917.11870],2s,2S,1/2,12p,2P*,1/2,,,,
3751.217,0.006,3751.2244,0.0020,8000,2.8337e+04,AAA,82259.158,108917.1209,2,,,12,,,,T8637,L7436c29,
,,3751.2174,0.0008,,,,,,,,,,,,,,c40,
,,3751.24223202,0.00000007,,,,82259.2850014,108917.12094342,2p,2P*,3/2,12d,2D,5/2,,,,
,,3751.2422,0.0003,,,,,,,,,,,,,,c41,
,,3751.24231149,0.00000007,,,,82259.2850014,108917.1203787,2p,2P*,3/2,12d,2D,3/2,,,,
,,3751.242525,0.000006,,,,82259.2850014,[108917.11886],2p,2P*,3/2,12s,2S,1/2,,,,
,,3771.674243,0.000003,,,,82258.9191133,[108772.343536],2p,2P*,1/2,11d,2D,3/2,,,,
,,3771.674523,0.000006,,,,82258.9191133,[108772.34157],2p,2P*,1/2,11s,2S,1/2,,,,
,,3771.6768,0.0009,,,,,,,,,,,,,,c42,
,,3771.679261,0.000006,,,,82258.9543992821,[108772.34355],2s,2S,1/2,11p,2P*,3/2,,,,
,,3771.679543,0.000006,,,,82258.9543992821,[108772.34157],2s,2S,1/2,11s,2S,1/2,M1,,,
,,3771.679574,0.000006,,,,82258.9543992821,[108772.34135],2s,2S,1/2,11p,2P*,1/2,,,,
,,3771.7012,0.0009,,,,,,,,,,,,,,c43,
3771.704,0.006,3771.7081,0.0020,9000,4.3972e+04,AAA,82259.158,108772.3445,2,,,11,,,,T8637,L7436c29,
,,3771.726189,0.000003,,,,82259.2850014,[108772.344270],2p,2P*,3/2,11d,2D,5/2,,,,
,,3771.7262,0.0003,,,,,,,,,,,,,,c44,
,,3771.726294,0.000003,,,,82259.2850014,[108772.343536],2p,2P*,3/2,11d,2D,3/2,,,,
,,3771.726573,0.000006,,,,82259.2850014,[108772.34157],2p,2P*,3/2,11s,2S,1/2,,,,
,,3798.94836051,0.00000025,,,,82258.9191133,[108581.9934250],2p,2P*,1/2,10d,2D,3/2,,,,
,,3798.948739,0.000006,,,,82258.9191133,[108581.99080],2p,2P*,1/2,10s,2S,1/2,,,,
,,3798.9510,0.0009,,,,,,,,,,,,,,c45,
3798.95331215,0.00000019,3798.95331215,0.00000019,,,,82258.9543992821,108581.9944009,2s,2S,1/2,10d,2D,5/2,E2,,L7369u33,
,,3798.953451,0.000006,,,,82258.9543992821,[108581.99344],2s,2S,1/2,10p,2P*,3/2,,,,
,,3798.953832,0.000006,,,,82258.9543992821,[108581.99080],2s,2S,1/2,10s,2S,1/2,M1,,,
,,3798.953874,0.000006,,,,82258.9543992821,[108581.99051],2s,2S,1/2,10p,2P*,1/2,,,,
,,3798.9757,0.0009,,,,,,,,,,,,,,c46,
3798.987,0.006,3798.9827,0.0020,17000,7.1225e+04,AAA,82259.158,108581.9945,2,,,10,,,,T8637,L7436c29,
,,3799.00102540,0.00000019,,,,82259.2850014,108581.9944009,2p,2P*,3/2,10d,2D,5/2,,,,
,,3799.0010,0.0003,,,,,,,,,,,,,,c47,
,,3799.00116625,0.00000025,,,,82259.2850014,[108581.9934250],2p,2P*,3/2,10d,2D,3/2,,,,
,,3799.001545,0.000006,,,,82259.2850014,[108581.99080],2p,2P*,3/2,10s,2S,1/2,,,,
,,3836.443947,0.000003,,,,82258.9191133,[108324.724162],2p,2P*,1/2,9d,2D,3/2,,,,
,,3836.444479,0.000006,,,,82258.9191133,[108324.72055],2p,2P*,1/2,9s,2S,1/2,,,,
,,3836.4468,0.0009,,,,,,,,,,,,,,c48,
,,3836.449138,0.000006,,,,82258.9543992821,[108324.72418],2s,2S,1/2,9p,2P*,3/2,,,,
,,3836.449672,0.000006,,,,82258.9543992821,[108324.72055],2s,2S,1/2,9s,2S,1/2,M1,,,
,,3836.449729,0.000006,,,,82258.9543992821,[108324.72016],2s,2S,1/2,9p,2P*,1/2,,,,
,,3836.4720,0.0009,,,,,,,,,,,,,,c49,
3836.485,0.006,3836.4789,0.0021,30000,1.2156e+05,AAA,82259.158,108324.7253,2,,,9,,,,T8637,L7436c29,
,,3836.497603,0.000003,,,,82259.2850014,[108324.725501],2p,2P*,3/2,9d,2D,5/2,,,,
,,3836.4977,0.0003,,,,,,,,,,,,,,c50,
,,3836.497800,0.000003,,,,82259.2850014,[108324.724162],2p,2P*,3/2,9d,2D,3/2,,,,
,,3836.498332,0.000006,,,,82259.2850014,[108324.72055],2p,2P*,3/2,9s,2S,1/2,,,,
,,3890.12183558,0.00000006,,,,82258.9191133,107965.0548660,2p,2P*,1/2,8d,2D,3/2,,,,
,,3890.12261516,0.00000006,,,,82258.9191133,107965.0497145,2p,2P*,1/2,8s,2S,1/2,,,,
,,3890.1247,0.0009,,,,,,,,,,,,,,c51,
3890.12688704,0.00000004,3890.12688704,0.00000003,,,,82258.9543992821,107965.05677174,2s,2S,1/2,8d,2D,5/2,E2,,L11759,
,,3890.12717403,0.00000009,,,,82258.9543992821,[107965.0548753],2s,2S,1/2,8p,2P*,3/2,,,,
3890.12717544,0.00000004,3890.12717543,0.00000005,,,,82258.9543992821,107965.0548660,2s,2S,1/2,8d,2D,3/2,E2,,L11759,
3890.12795502,0.00000005,3890.12795501,0.00000005,,,,82258.9543992821,107965.0497145,2s,2S,1/2,8s,2S,1/2,M1,,L11759,
,,3890.12803918,0.00000009,,,,82258.9543992821,[107965.0491583],2s,2S,1/2,8p,2P*,1/2,,,,
,,3890.1506,0.0009,,,,,,,,,,,,,,c52,
3890.166,0.006,3890.1577,0.0021,70000,2.2148e+05,AAA,82259.158,107965.0568,2,,,8,,,,T8637,L7436c29,
,,3890.17691799,0.00000008,,,,82259.2850014,107965.05677174,2p,2P*,3/2,8d,2D,5/2,,,,
,,3890.1769,0.0003,,,,,,,,,,,,,,c53,
,,3890.17720639,0.00000008,,,,82259.2850014,107965.0548660,2p,2P*,3/2,8d,2D,3/2,,,,
,,3890.17798599,0.00000008,,,,82259.2850014,107965.0497145,2p,2P*,3/2,8s,2S,1/2,,,,
,,3971.164910,0.000004,,,,82258.9191133,[107440.447022],2p,2P*,1/2,7d,2D,3/2,,,,
,,3971.166123,0.000006,,,,82258.9191133,[107440.43933],2p,2P*,1/2,7s,2S,1/2,,,,
,,3971.1679,0.0009,,,,,,,,,,,,,,c54,
,,3971.170473,0.000006,,,,82258.9543992821,[107440.44703],2s,2S,1/2,7p,2P*,3/2,,,,
,,3971.171687,0.000006,,,,82258.9543992821,[107440.43933],2s,2S,1/2,7s,2S,1/2,M1,,,
,,3971.171818,0.000006,,,,82258.9543992821,[107440.43850],2s,2S,1/2,7p,2P*,1/2,,,,
,,3971.1951,0.0009,,,,,,,,,,,,,,c55,
3971.198,0.006,3971.2020,0.0022,30000,4.3889e+05,AAA,82259.158,107440.4508,2,,,7,,,,T8637,L7436c29,
,,3971.222163,0.000004,,,,82259.2850014,[107440.449866],2p,2P*,3/2,7d,2D,5/2,,,,
,,3971.2223,0.0003,,,,,,,,,,,,,,c56,
,,3971.222611,0.000004,,,,82259.2850014,[107440.447022],2p,2P*,3/2,7d,2D,3/2,,,,
,,3971.223825,0.000006,,,,82259.2850014,[107440.43933],2p,2P*,3/2,7s,2S,1/2,,,,
,,4102.85985517,0.00000022,,4.2877e+06,AAA,82258.9191133,[106632.1620536],2p,2P*,1/2,6d,2D,3/2,,T8637,,
,,4102.86191087,0.00000013,,2.4501e+05,AAA,82258.9191133,106632.1498416,2p,2P*,1/2,6s,2S,1/2,,T8637,,
,,4102.8632,0.0010,,,,,,,,,,,,,,c57,
4102.86503481,0.00000006,4102.86503481,0.00000007,,,,82258.9543992821,106632.1665697,2s,2S,1/2,6d,2D,5/2,E2,,L11759,
