obs_wl_vac(A),unc_obs_wl,ritz_wl_vac(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
,,4102.86579132,0.00000022,,2.8583e+06,AAA,82258.9543992821,[106632.1620756],2s,2S,1/2,6p,2P*,3/2,,T8637,,
4102.86785074,0.00000012,4102.86785074,0.00000012,,,,82258.9543992821,106632.1498416,2s,2S,1/2,6s,2S,1/2,M1,,L11759,
,,4102.86807250,0.00000017,,2.8584e+06,AAA,82258.9543992821,[106632.1485242],2s,2S,1/2,6p,2P*,1/2,,T8637,,
4102.892,0.006,4102.8991,0.0024,70000,9.7320e+05,AAA,82259.158,106632.1681,2,,,6,,,,T8637,L7436c29,
,,4102.8922,0.0010,,,,,,,,,,,,,,c58,
,,4102.92068748,0.00000008,,5.1450e+06,AAA,82259.2850014,106632.1665697,2p,2P*,3/2,6d,2D,5/2,,T8637,,
,,4102.9208,0.0003,,,,,,,,,,,,,,c59,
,,4102.92144772,0.00000022,,8.5748e+05,AAA,82259.2850014,[106632.1620536],2p,2P*,3/2,6d,2D,3/2,,T8637,,
,,4102.92350348,0.00000013,,4.9006e+05,AAA,82259.2850014,106632.1498416,2p,2P*,3/2,6s,2S,1/2,,T8637,,
,,4341.647191,0.000004,,7.8548e+06,AAA,82258.9191133,105291.651993,2p,2P*,1/2,5d,2D,3/2,,T8637,,
,,4341.6512,0.0011,,,,,,,,,,,,,,c60,
,,4341.651159,0.000008,,4.2955e+05,AAA,82258.9191133,[105291.63094],2p,2P*,1/2,5s,2S,1/2,,T8637,,
,,4341.653824,0.000008,,4.9483e+06,AAA,82258.9543992821,105291.65209,2s,2S,1/2,5p,2P*,3/2,,T8637,,
,,4341.657811,0.000008,,,,82258.9543992821,[105291.63094],2s,2S,1/2,5s,2S,1/2,M1,,,
,,4341.658238,0.000008,,4.9484e+06,AAA,82258.9543992821,105291.62867,2s,2S,1/2,5p,2P*,1/2,,T8637,,
,,4341.6837,0.0011,,,,,,,,,,,,,,c61,
4341.692,0.006,4341.691,0.003,90000,2.5304e+06,AAA,82259.158,105291.657,2,,,5,,,,T8637,L7436c29,
,,4341.714690,0.000004,,9.4254e+06,AAA,82259.2850014,[105291.659796],2p,2P*,3/2,5d,2D,5/2,,T8637,,
,,4341.7150,0.0004,,,,,,,,,,,,,,c62,
,,4341.716161,0.000004,,1.5709e+06,AAA,82259.2850014,105291.651993,2p,2P*,3/2,5d,2D,3/2,,T8637,,
,,4341.720130,0.000008,,8.5920e+05,AAA,82259.2850014,[105291.63094],2p,2P*,3/2,5s,2S,1/2,,T8637,,
,,4862.6365622,0.0000019,,1.7188e+07,AAA,82258.9191133,102823.894250,2p,2P*,1/2,4d,2D,3/2,,T8637,,
4862.64130281,0.00000019,4862.64130279,0.00000019,,,,82258.9543992821,102823.9094871,2s,2S,1/2,4d,2D,5/2,E2,,L9496,
,,4862.6420,0.0014,,,,,,,,,,,,,,c63,
4862.64488967,0.00000008,4862.64488968,0.00000007,,9.6680e+06,AAA,82258.9543992821,102823.8943175,2s,2S,1/2,4p,2P*,3/2,,T8637,L9477,
,,4862.64631087,0.00000009,,8.5941e+05,AAA,82258.9191133,102823.8530211,2p,2P*,1/2,4s,2S,1/2,,T8637,,
4862.65465436,0.00000008,4862.65465437,0.00000007,,,,82258.9543992821,102823.8530211,2s,2S,1/2,4s,2S,1/2,M1,,L9496,
4862.65570391,0.00000012,4862.65570389,0.00000012,,9.6683e+06,AAA,82258.9543992821,102823.8485825,2s,2S,1/2,4p,2P*,1/2,,T8637,L9477,
,,4862.6830,0.0014,,,,,,,,,,,,,,c64,
4862.71,0.05,4862.691,0.003,180000,8.4193e+06,AAA,82259.158,102823.904,2,,,4,,,,T8637,L7439c30,
,,4862.71947584,0.00000024,,2.0625e+07,AAA,82259.2850014,102823.9094871,2p,2P*,3/2,4d,2D,5/2,,T8637,,
,,4862.7202,0.0005,,,,,,,,,,,,,,c65,
,,4862.7230788,0.0000019,,3.4375e+06,AAA,82259.2850014,102823.894250,2p,2P*,3/2,4d,2D,3/2,,T8637,,
,,4862.73282785,0.00000012,,1.7190e+06,AAA,82259.2850014,102823.8530211,2p,2P*,3/2,4s,2S,1/2,,T8637,,
6564.522552,0.000024,6564.522556,0.000009,,5.3877e+07,AAA,82258.9191133,97492.319433,2p,2P*,1/2,3d,2D,3/2,,T8637,L2752,
,,6564.527,0.004,,,,,,,,,,,,,,c67,
,,6564.535,0.009,,,,,,,,,,,,,,c68,
6564.537684,0.000004,6564.537685,0.000003,,2.2448e+07,AAA,82258.9543992821,97492.319611,2s,2S,1/2,3p,2P*,3/2,,T8637,L6891c38,
,,6564.564672,0.000003,,2.1046e+06,AAA,82258.9191133,97492.221701,2p,2P*,1/2,3s,2S,1/2,,T8637,,
,,6564.579878,0.000003,,,,82258.9543992821,97492.221701,2s,2S,1/2,3s,2S,1/2,M1,,,
,,6564.583,0.006,,,,,,,,,,,,,,c66,
6564.584404,0.000004,6564.584403,0.000003,,2.2449e+07,AAA,82258.9543992821,97492.211200,2s,2S,1/2,3p,2P*,1/2,,T8637,L6891c38,
6564.60,0.03,6564.632,0.007,500000,4.4101e+07,AAA,82259.158,97492.304,2,,,3,,,,T8637,L7400c29,
,,6564.608,0.009,,,,,,,,,,,,,,c69,
6564.66464,0.00006,6564.664660,0.000003,,6.4651e+07,AAA,82259.2850014,97492.355566,2p,2P*,3/2,3d,2D,5/2,,T8637,L2752,
,,6564.6662,0.0003,,,,,,,,,,,,,,c71,
,,6564.667,0.003,,,,,,,,,,,,,,c70,
,,6564.680232,0.000009,,1.0775e+07,AAA,82259.2850014,97492.319433,2p,2P*,3/2,3d,2D,3/2,,T8637,,
,,6564.722349,0.000003,,4.2097e+06,AAA,82259.2850014,97492.221701,2p,2P*,3/2,3s,2S,1/2,,T8637,,
8252.26,0.10,8252.242,0.005,90,,,97492.304,[109610.2232],3,,,40,,,,,L7400c29,
8254.56,0.10,8254.667,0.005,90,,,97492.304,[109606.6628],3,,,39,,,,,L7400c29,
8257.26,0.10,8257.288,0.005,90,,,97492.304,[109602.8177],3,,,38,,,,,L7400c29,
8260.16,0.10,8260.126,0.005,110,,,97492.304,[109598.6566],3,,,37,,,,,L7400c29,
8263.16,0.10,8263.206,0.005,110,,,97492.304,[109594.1439],3,,,36,,,,,L7400c29,
8266.55,0.03,8266.557,0.005,110,,,97492.304,[109589.2390],3,,,35,,,,,L7400c29,
8270.21,0.03,8270.210,0.005,110,,,97492.304,[109583.8949],3,,,34,,,,,L7400c29,
8274.21,0.03,8274.205,0.005,140,,,97492.304,[109578.0577],3,,,33,,,,,L7400c29,
8278.59,0.03,8278.584,0.005,140,,,97492.304,[109571.6647],3,,,32,,,,,L7400c29,
8283.41,0.03,8283.399,0.005,140,,,97492.304,[109564.6431],3,,,31,,,,,L7400c29,
8288.70,0.03,8288.710,0.005,140,,,97492.304,[109556.9077],3,,,30,,,,,L7400c29,
8294.58,0.03,8294.588,0.006,170,,,97492.304,[109548.3584],3,,,29,,,,,L7400c29,
8301.11,0.03,8301.116,0.006,210,,,97492.304,[109538.8768],3,,,28,,,,,L7400c29,
8308.38,0.03,8308.395,0.006,250,,,97492.304,[109528.3223],3,,,27,,,,,L7400c29,
8316.55,0.03,8316.546,0.006,290,,,97492.304,[109516.5267],3,,,26,,,,,L7400c29,
8325.71,0.03,8325.713,0.006,290,,,97492.304,[109503.2875],3,,,25,,,,,L7400c29,
8336.07,0.03,8336.074,0.006,370,,,97492.304,[109488.3592],3,,,24,,,,,L7400c29,
8347.83,0.03,8347.846,0.006,500,,,97492.304,[109471.4416],3,,,23,,,,,L7400c29,
8361.30,0.03,8361.301,0.006,500,,,97492.304,[109452.1650],3,,,22,,,,,L7400c29,
8376.78,0.03,8376.777,0.006,600,,,97492.304,[109430.0696],3,,,21,,,,,L7400c29,
8394.71,0.03,8394.703,0.006,700,1.5167e+03,AAA,97492.304,[109404.5776],3,,,20,,,,T8637,L7400c29,
8415.63,0.03,8415.630,0.006,700,1.9643e+03,AAA,97492.304,[109374.9555],3,,,19,,,,T8637,L7400c29,
8440.27,0.03,8440.274,0.006,700,2.5804e+03,AAA,97492.304,[109340.2604],3,,,18,,,,T8637,L7400c29,
8469.59,0.03,8469.581,0.006,700,3.4442e+03,AAA,97492.304,[109299.2642],3,,,17,,,,T8637,L7400c29,
8504.83,0.03,8504.819,0.006,(1200),4.6801e+03,AAA,97492.304,[109250.3433],3,,,16,,,,T8637,L7400c29,
8547.73,0.03,8547.731,0.006,(1400),6.4901e+03,AAA,97492.304,[109191.3154],3,,,15,,,,T8637,L7400c29,
8600.75,0.03,8600.754,0.006,2300,9.2117e+03,AAA,97492.304,[109119.1917],3,,,14,,,,T8637,L7400c29,
8667.40,0.03,8667.398,0.006,(2200),1.3431e+04,AAA,97492.304,[109029.7913],3,,,13,,,,T8637,L7400c29,
8752.86,0.03,8752.876,0.005,2200,2.0207e+04,AAA,97492.304,108917.1209,3,,,12,,,,T8637,L7400c29,
8865.32,0.10,8865.216,0.006,(3600),3.1558e+04,AAA,97492.304,108772.3445,3,,,11,,,,T8637,L7400c29,
9017.8,1.0,9017.384,0.007,(4800),5.1558e+04,AAA,97492.304,108581.9945,3,,,10,,,,T8637,L7389,
9232.2,1.0,9231.546,0.007,(6500),8.9050e+04,AAA,97492.304,108324.7253,3,,,9,,,,T8637,L7389,
9548.8,1.0,9548.588,0.006,(9000),1.6506e+05,AAA,97492.304,107965.0568,3,,,8,,,,T8637,L7389,
10052.6,1.0,10052.123,0.007,(13000),3.3585e+05,AAA,97492.304,107440.4508,3,,,7,,,,T8637,L7389,
,,10940.977868,0.000008,,1.5649e+06,AAA,97492.211200,[106632.1620536],3p,2P*,1/2,6d,2D,3/2,,T8637,,
,,10940.990411,0.000008,,9.5508e+05,AAA,97492.221701,[106632.1620756],3s,2S,1/2,6p,2P*,3/2,,T8637,,
,,10940.992486,0.000008,,1.6906e+05,AAA,97492.211200,106632.1498416,3p,2P*,1/2,6s,2S,1/2,,T8637,,
,,10941.006633,0.000008,,9.5511e+05,AAA,97492.221701,[106632.1485242],3s,2S,1/2,6p,2P*,1/2,,T8637,,
,,10941.102026,0.000024,,2.0030e+06,AAA,97492.319433,(106632.16656761),3d,2D,3/2,6f,2F*,5/2,,T8637,,
,,10941.102236,0.000008,,1.8778e+06,AAA,97492.319611,106632.1665697,3p,2P*,3/2,6d,2D,5/2,,T8637,,
,,10941.107403,0.000024,,7.8242e+03,AAA,97492.319433,[106632.1620756],3d,2D,3/2,6p,2P*,3/2,,T8637,,
,,10941.107643,0.000008,,3.1296e+05,AAA,97492.319611,[106632.1620536],3p,2P*,3/2,6d,2D,3/2,,T8637,,
,,10941.122261,0.000008,,3.3815e+05,AAA,97492.319611,106632.1498416,3p,2P*,3/2,6s,2S,1/2,,T8637,,
,,10941.123625,0.000024,,7.8253e+04,AAA,97492.319433,[106632.1485242],3d,2D,3/2,6p,2P*,1/2,,T8637,,
,,10941.142576,0.000008,,2.1460e+06,AAA,97492.355566,(106632.16882614),3d,2D,5/2,6f,2F*,7/2,,T8637,,
,,10941.145280,0.000008,,1.4307e+05,AAA,97492.355566,(106632.16656761),3d,2D,5/2,6f,2F*,5/2,,T8637,,
,,10941.150657,0.000008,,7.0421e+04,AAA,97492.355566,[106632.1620756],3d,2D,5/2,6p,2P*,3/2,,T8637,,
10941.17,0.13,10941.082,0.010,14000,7.7829e+05,AAA,97492.304,106632.1681,3,,,6,,,,T8637,L7421,
,,12821.43203,0.00004,,2.8263e+06,AAA,97492.211200,105291.651993,3p,2P*,1/2,5d,2D,3/2,,T8637,,
,,12821.44913,0.00007,,1.6377e+06,AAA,97492.221701,105291.65209,3s,2S,1/2,5p,2P*,3/2,,T8637,,
,,12821.46664,0.00007,,3.0157e+05,AAA,97492.211200,[105291.63094],3p,2P*,1/2,5s,2S,1/2,,T8637,,
,,12821.48763,0.00007,,1.6378e+06,AAA,97492.221701,105291.62867,3s,2S,1/2,5p,2P*,1/2,,T8637,,
12821.578,0.008,12821.576,0.010,32000,2.2008e+06,AAA,97492.304,105291.657,3,,,5,,,,T8637,L7421,
,,12821.59706,0.00003,,4.2394e+06,AAA,97492.319433,(105291.65983494),3d,2D,3/2,5f,2F*,5/2,,T8637,,
,,12821.59742,0.00004,,3.3915e+06,AAA,97492.319611,[105291.659796],3p,2P*,3/2,5d,2D,5/2,,T8637,,
,,12821.60980,0.00007,,1.4954e+04,AAA,97492.319433,105291.65209,3d,2D,3/2,5p,2P*,3/2,,T8637,,
,,12821.61025,0.00004,,5.6525e+05,AAA,97492.319611,105291.651993,3p,2P*,3/2,5d,2D,3/2,,T8637,,
,,12821.64486,0.00007,,6.0320e+05,AAA,97492.319611,[105291.63094],3p,2P*,3/2,5s,2S,1/2,,T8637,,
,,12821.64830,0.00007,,1.4956e+05,AAA,97492.319433,105291.62867,3d,2D,3/2,5p,2P*,1/2,,T8637,,
,,12821.65011,0.00008,,4.5421e+06,AAA,97492.355566,105291.66370,3d,2D,5/2,5f,2F*,7/2,,T8637,,
,,12821.656465,0.000012,,3.0281e+05,AAA,97492.355566,(105291.65983494),3d,2D,5/2,5f,2F*,5/2,,T8637,,
,,12821.66920,0.00007,,1.3459e+05,AAA,97492.355566,105291.65209,3d,2D,5/2,5p,2P*,3/2,,T8637,,
,,15196.013,0.009,,1.1784e+03,AAA,102823.904,[109404.5776],4,,,20,,,,T8637,,
,,15264.725,0.009,,1.5289e+03,AAA,102823.904,[109374.9555],4,,,19,,,,T8637,,
,,15345.999,0.009,,2.0128e+03,AAA,102823.904,[109340.2604],4,,,18,,,,T8637,,
,,15443.156,0.010,,2.6935e+03,AAA,102823.904,[109299.2642],4,,,17,,,,T8637,,
15560.46,0.06,15560.716,0.015,800,3.6714e+03,AAA,102823.904,[109250.3433],4,,,16,,,,T8637,L7421c31,
,,15704.969,0.015,(800),5.1106e+03,AAA,102823.904,[109191.3154],4,,,15,,,,T8637,,
,,15884.898,0.013,(1000),7.2879e+03,AAA,102823.904,[109119.1917],4,,,14,,,,T8637,,
,,16113.731,0.013,(1200),1.0689e+04,AAA,102823.904,[109029.7913],4,,,13,,,,T8637,,
16411.36,0.13,16411.692,0.016,1400,1.6205e+04,AAA,102823.904,108917.1209,4,,,12,,,,T8637,L7421c31,
16811.10,0.03,16811.129,0.017,1600,2.5565e+04,AAA,102823.904,108772.3445,4,,,11,,,,T8637,L7421,
17366.885,0.021,17366.868,0.018,3100,4.2347e+04,AAA,102823.904,108581.9945,4,,,10,,,,T8637,L7421,
18179.20,0.04,18179.104,0.020,2800,7.4593e+04,AAA,102823.904,108324.7253,4,,,9,,,,T8637,L7421c31,
,,18755.80357,0.00004,,5.8647e+06,AAA,97492.211200,102823.894250,3p,2P*,1/2,4d,2D,3/2,,T8637,,
,,18755.840276,0.000025,,3.0650e+06,AAA,97492.221701,102823.8943175,3s,2S,1/2,4p,2P*,3/2,,T8637,,
,,18755.948609,0.000025,,6.1182e+05,AAA,97492.211200,102823.8530211,3p,2P*,1/2,4s,2S,1/2,,T8637,,
,,18756.001165,0.000025,,3.0652e+06,AAA,97492.221701,102823.8485825,3s,2S,1/2,4p,2P*,1/2,,T8637,,
,,18756.13071,0.00018,,1.2869e+07,AAA,97492.319433,102823.90949,3d,2D,3/2,4f,2F*,5/2,,T8637,,
,,18756.131346,0.000025,,7.0376e+06,AAA,97492.319611,102823.9094871,3p,2P*,3/2,4d,2D,5/2,,T8637,,
,,18756.18409,0.00007,,3.4754e+04,AAA,97492.319433,102823.8943175,3d,2D,3/2,4p,2P*,3/2,,T8637,,
,,18756.18495,0.00004,,1.1729e+06,AAA,97492.319611,102823.894250,3p,2P*,3/2,4d,2D,3/2,,T8637,,
,,18756.23108,0.00005,,1.3788e+07,AAA,97492.355566,102823.917091,3d,2D,5/2,4f,2F*,7/2,,T8637,,
,,18756.25782,0.00018,,9.1919e+05,AAA,97492.355566,102823.90949,3d,2D,5/2,4f,2F*,5/2,,T8637,,
,,18756.311200,0.000025,,3.1280e+05,AAA,97492.355566,102823.8943175,3d,2D,5/2,4p,2P*,3/2,,T8637,,
,,18756.329991,0.000025,,1.2238e+06,AAA,97492.319611,102823.8530211,3p,2P*,3/2,4s,2S,1/2,,T8637,,
,,18756.34498,0.00007,,3.4759e+05,AAA,97492.319433,102823.8485825,3d,2D,3/2,4p,2P*,1/2,,T8637,,
18756.4,1.0,18756.096,0.025,(51000),8.9860e+06,AAA,97492.304,102823.904,3,,,4,,,,T8637,L4812,
,,19450.890,0.023,(4500),1.4242e+05,AAA,102823.904,107965.0568,4,,,8,,,,T8637,,
21661.178,0.023,21661.21,0.03,8000,3.0415e+05,AAA,102823.904,107440.4508,4,,,7,,,,T8637,L7421,
,,24313.62,0.03,,9.7511e+02,AAA,105291.657,[109404.5776],5,,,20,,,,T8637,,
,,24490.00,0.03,,1.2683e+03,AAA,105291.657,[109374.9555],5,,,19,,,,T8637,,
,,24699.88,0.03,,1.6747e+03,AAA,105291.657,[109340.2604],5,,,18,,,,T8637,,
,,24952.545,0.025,,2.2490e+03,AAA,105291.657,[109299.2642],5,,,17,,,,T8637,,
,,25260.91,0.04,(400),3.0788e+03,AAA,105291.657,[109250.3433],5,,,16,,,,T8637,,
,,25643.27,0.05,(480),4.3084e+03,AAA,105291.657,[109191.3154],5,,,15,,,,T8637,,
,,26126.48,0.04,(580),6.1848e+03,AAA,105291.657,[109119.1917],5,,,14,,,,T8637,,
,,26258.342639,0.000010,,7.1849e+05,AAA,102823.8485825,[106632.1620536],4p,2P*,1/2,6d,2D,3/2,,T8637,,
,,26258.373091,0.000007,,4.4561e+05,AAA,102823.8530211,[106632.1620756],4s,2S,1/2,6p,2P*,3/2,,T8637,,
,,26258.426841,0.000006,,1.1942e+05,AAA,102823.8485825,106632.1498416,4p,2P*,1/2,6s,2S,1/2,,T8637,,
,,26258.466529,0.000007,,4.4563e+05,AAA,102823.8530211,[106632.1485242],4s,2S,1/2,6p,2P*,1/2,,T8637,,
,,26258.62640,0.00006,,1.2012e+06,AAA,102823.894250,(106632.16656761),4d,2D,3/2,6f,2F*,5/2,,T8637,,
,,26258.626846,0.000007,,8.6219e+05,AAA,102823.8943175,106632.1665697,4p,2P*,3/2,6d,2D,5/2,,T8637,,
,,26258.65737,0.00006,,9.4169e+03,AAA,102823.894250,[106632.1620756],4d,2D,3/2,6p,2P*,3/2,,T8637,,
,,26258.657986,0.000007,,1.4370e+05,AAA,102823.8943175,[106632.1620536],4p,2P*,3/2,6d,2D,3/2,,T8637,,
26258.71,0.21,26258.68,0.04,(9000),7.7110e+05,AAA,102823.904,106632.1681,4,,,6,,,,T8637,L7452,
,,26258.715885,0.000007,,1.2870e+06,AAA,102823.9094871,(106632.16882614),4d,2D,5/2,6f,2F*,7/2,,T8637,,
,,26258.7159,0.0003,,1.3238e+06,AAA,102823.90949,(106632.16882188),4f,2F*,5/2,6g,2G,7/2,,T8637,,
,,26258.731458,0.000007,,8.5799e+04,AAA,102823.9094871,(106632.16656761),4d,2D,5/2,6f,2F*,5/2,,T8637,,
,,26258.7315,0.0003,,1.0214e+03,AAA,102823.90949,106632.1665697,4f,2F*,5/2,6d,2D,5/2,,T8637,,
,,26258.742190,0.000007,,2.3885e+05,AAA,102823.8943175,106632.1498416,4p,2P*,3/2,6s,2S,1/2,,T8637,,
,,26258.75081,0.00006,,9.4181e+04,AAA,102823.894250,[106632.1485242],4d,2D,3/2,6p,2P*,1/2,,T8637,,
,,26258.75900,0.00009,,1.3728e+06,AAA,102823.917091,(106632.17017701),4f,2F*,7/2,6g,2G,9/2,,T8637,,
,,26258.762431,0.000007,,8.4755e+04,AAA,102823.9094871,[106632.1620756],4d,2D,5/2,6p,2P*,3/2,,T8637,,
,,26258.7626,0.0003,,2.1451e+04,AAA,102823.90949,[106632.1620536],4f,2F*,5/2,6d,2D,3/2,,T8637,,
,,26258.76834,0.00009,,4.9028e+04,AAA,102823.917091,(106632.16882188),4f,2F*,7/2,6g,2G,7/2,,T8637,,
,,26258.78387,0.00009,,2.0429e+04,AAA,102823.917091,106632.1665697,4f,2F*,7/2,6d,2D,5/2,,T8637,,
,,26751.31,0.04,(700),9.1481e+03,AAA,105291.657,[109029.7913],5,,,13,,,,T8637,,
,,27582.68,0.05,(900),1.4024e+04,AAA,105291.657,108917.1209,5,,,12,,,,T8637,,
,,28729.96,0.06,(1100),2.2460e+04,AAA,105291.657,108772.3445,5,,,11,,,,T8637,,
,,30392.02,0.06,(1400),3.7999e+04,AAA,105291.657,108581.9945,5,,,10,,,,T8637,,
32969.8,2.2,32969.91,0.07,(1800),6.9078e+04,AAA,105291.657,108324.7253,5,,,9,,,,T8637,L7452,
,,36069.708,0.025,,8.4239e+02,AAA,106632.1681,[109404.5776],6,,,20,,,,T8637,,
,,36459.26,0.03,,1.0993e+03,AAA,106632.1681,[109374.9555],6,,,19,,,,T8637,,
,,36926.36,0.03,,1.4571e+03,AAA,106632.1681,[109340.2604],6,,,18,,,,T8637,,
37405.76,0.17,37405.55,0.08,2500,1.3877e+05,AAA,105291.657,107965.0568,5,,,8,,,,T8637,L7421,
,,37493.96,0.03,,1.9660e+03,AAA,106632.1681,[109299.2642],6,,,17,,,,T8637,,
,,38194.54,0.04,(140),2.7068e+03,AAA,106632.1681,[109250.3433],6,,,16,,,,T8637,,
,,39075.52,0.05,(170),3.8151e+03,AAA,106632.1681,[109191.3154],6,,,15,,,,T8637,,
,,40208.71,0.04,(200),5.5265e+03,AAA,106632.1681,[109119.1917],6,,,14,,,,T8637,,
,,40521.8664,0.0004,,1.2381e+06,AAA,102823.8485825,105291.651993,4p,2P*,1/2,5d,2D,3/2,,T8637,,
,,40521.9376,0.0007,,7.3716e+05,AAA,102823.8530211,105291.65209,4s,2S,1/2,5p,2P*,3/2,,T8637,,
,,40522.2121,0.0007,,2.1503e+05,AAA,102823.8485825,[105291.63094],4p,2P*,1/2,5s,2S,1/2,,T8637,,
,,40522.3222,0.0007,,7.3721e+05,AAA,102823.8530211,105291.62867,4s,2S,1/2,5p,2P*,1/2,,T8637,,
,,40522.48747,0.00013,,2.4121e+06,AAA,102823.894250,(105291.65983494),4d,2D,3/2,5f,2F*,5/2,,T8637,,
,,40522.4892,0.0004,,1.4858e+06,AAA,102823.8943175,[105291.659796],4p,2P*,3/2,5d,2D,5/2,,T8637,,
,,40522.6147,0.0007,,1.8846e+04,AAA,102823.894250,105291.65209,4d,2D,3/2,5p,2P*,3/2,,T8637,,
,,40522.6174,0.0004,,2.4763e+05,AAA,102823.8943175,105291.651993,4p,2P*,3/2,5d,2D,3/2,,T8637,,
,,40522.6738,0.0008,,4.1023e+06,AAA,102823.90949,(105291.66373033),4f,2F*,5/2,5g,2G,7/2,,T8637,,
,,40522.6742,0.0008,,2.5844e+06,AAA,102823.9094871,105291.66370,4d,2D,5/2,5f,2F*,7/2,,T8637,,
,,40522.737678,0.000016,,1.7229e+05,AAA,102823.9094871,(105291.65983494),4d,2D,5/2,5f,2F*,5/2,,T8637,,
